"pdb","vvolume","variable","value"
"1A8S_A","vvolumeN","r4s_JC",0.426136248707352
"1A8S_A","vvolumeN","rsa",0.804843652627965
"1A8S_A","vvolumeN","seqent",0.365959715721905
"1A8S_A","vvolumeO","ddgent",0.58808489706944
"1A8S_A","vvolumeO","hbe",0.419313130937683
"1A8S_A","vvolumeO","hpshh",0.264938352190913
"1A8S_A","vvolumeO","r4s_JC",0.3678475872199
"1A8S_A","vvolumeO","rsa",0.759319669682678
"1A8S_A","vvolumeO","seqent",0.316002965542517
"1A8S_A","vvolumeSC","ddgent",0.753619555626855
"1A8S_A","vvolumeSC","hbe",0.323387590984963
"1A8S_A","vvolumeSC","hpshh",0.312523200041684
"1A8S_A","vvolumeSC","r4s_JC",0.495710934199535
"1A8S_A","vvolumeSC","rsa",0.915558125633776
"1A8S_A","vvolumeSC","seqent",0.410670433513558
"1AF7_A","vvolumeAA","ddgent",0.756428097449995
"1AF7_A","vvolumeAA","hbe",0.460215155245125
"1AF7_A","vvolumeAA","hpshh",0.459079019450849
"1AF7_A","vvolumeAA","r4s_JC",0.631483535374017
"1AF7_A","vvolumeAA","rsa",0.912543225377205
"1AF7_A","vvolumeAA","seqent",0.58807951672966
"1AF7_A","vvolumeC","ddgent",0.644366144804101
"1AF7_A","vvolumeC","hbe",0.515019372452301
"1AF7_A","vvolumeC","hpshh",0.319841926076055
"1AF7_A","vvolumeC","r4s_JC",0.569721247038334
"1AF7_A","vvolumeC","rsa",0.793189317134888
"1AF7_A","vvolumeC","seqent",0.539634532003633
"1AF7_A","vvolumeCA","ddgent",0.725252265982193
"1AF7_A","vvolumeCA","hbe",0.487836361687025
"1AF7_A","vvolumeCA","hpshh",0.393948402206317
"1AF7_A","vvolumeCA","r4s_JC",0.613663822142804
"1AF7_A","vvolumeCA","rsa",0.843908381499199
"1AF7_A","vvolumeCA","seqent",0.577293254852176
"1AF7_A","vvolumeCB","ddgent",0.761611818838096
"1AF7_A","vvolumeCB","hbe",0.483615154466604
"1AF7_A","vvolumeCB","hpshh",0.410778832207163
"1AF7_A","vvolumeCB","r4s_JC",0.647862608854543
"1AF7_A","vvolumeCB","rsa",0.888634290862884
"1AF7_A","vvolumeCB","seqent",0.611908232799788
"1AF7_A","vvolumeN","ddgent",0.645729453028723
"1AF7_A","vvolumeN","hbe",0.537398860038073
"1AF7_A","vvolumeN","hpshh",0.326697749737691
"1AF7_A","vvolumeN","r4s_JC",0.555653789274389
"1AF7_A","vvolumeN","rsa",0.764872937848718
"1AF7_A","vvolumeN","seqent",0.521012705270019
"1AF7_A","vvolumeO","ddgent",0.530240854036474
"1AF7_A","vvolumeO","hbe",0.59781063989531
"1AF7_A","vvolumeO","hpshh",0.229514796940704
"1AF7_A","vvolumeO","r4s_JC",0.425367335563051
"1AF7_A","vvolumeO","rsa",0.707231728335011
"1AF7_A","vvolumeO","seqent",0.394645517591006
"1AF7_A","vvolumeSC","ddgent",0.780024355206837
"1AF7_A","vvolumeSC","hbe",0.418247562386456
"1AF7_A","vvolumeSC","hpshh",0.475252001640443
"1AF7_A","vvolumeSC","r4s_JC",0.648007868744368
"1AF7_A","vvolumeSC","rsa",0.925244974647118
"1AF7_A","vvolumeSC","seqent",0.60550397184676
"1AGM_A","vvolumeAA","ddgent",0.754421164654724
"1AGM_A","vvolumeAA","hbe",0.456141412869865
"1AGM_A","vvolumeAA","hpshh",0.289474803346019
"1AGM_A","vvolumeAA","r4s_JC",0.580343221394888
"1AGM_A","vvolumeAA","rsa",0.915485518834064
"1AGM_A","vvolumeAA","seqent",0.371489980215167
"1AGM_A","vvolumeC","ddgent",0.645198050943278
"1AGM_A","vvolumeC","hbe",0.532542765914356
"1AGM_A","vvolumeC","hpshh",0.252897817833851
"1AGM_A","vvolumeC","r4s_JC",0.518051283832087
"1AGM_A","vvolumeC","rsa",0.83205040594396
"1AGM_A","vvolumeC","seqent",0.302387874788227
"1AGM_A","vvolumeCA","ddgent",0.722482547863166
"1AGM_A","vvolumeCA","hbe",0.488171061258727
"1AGM_A","vvolumeCA","hpshh",0.261311178506945
"1AGM_A","vvolumeCA","r4s_JC",0.55021654328543
"1AGM_A","vvolumeCA","rsa",0.876801696954223
"1AGM_A","vvolumeCA","seqent",0.332554117143352
"1AGM_A","vvolumeCB","ddgent",0.7490235717341
"1AGM_A","vvolumeCB","hbe",0.463556035508855
"1AGM_A","vvolumeCB","hpshh",0.261154816170043
"1AGM_A","vvolumeCB","r4s_JC",0.576092702028803
"1AGM_A","vvolumeCB","rsa",0.889467830846776
"1AGM_A","vvolumeCB","seqent",0.367443460472328
"1AGM_A","vvolumeN","ddgent",0.6028557963286
"1AGM_A","vvolumeN","hbe",0.537670034447897
"1AGM_A","vvolumeN","hpshh",0.2151334764315
"1AGM_A","vvolumeN","r4s_JC",0.485837133101156
"1AGM_A","vvolumeN","rsa",0.791628041284918
"1AGM_A","vvolumeN","seqent",0.255031680195632
"1AGM_A","vvolumeO","ddgent",0.554582112379654
